LAUNCHES AND ORBITAL FLIGHTS,,,,,,,,,,,,
,STS-322 Discovery,STS-118 Endeavour,,2011,STS-335 Atlantis,STS-134 Endeavour,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
BURAN TEST FLIGHTS,,,,,,,,,,,,
Mission,Shuttle,Crew,Duration,Landing Site,Notes,Sources,,,,,,
11/10/85,,OK-GLI,2,00d 00h 12m,Baikonur,,[313],,,,,
01/03/86,,OK-GLI,2,00d 00h 36m,Baikonur,,,,,,,
05/27/86,,OK-GLI,2,00d 00h 23m,Baikonur,,,,,,,
06/11/86,,OK-GLI,2,00d 00h 22m,Baikonur,,,,,,,
06/20/86,,OK-GLI,2,00d 00h 25m,Baikonur,,,,,,,
06/28/86,,OK-GLI,2,00d 00h 23m,Baikonur,,,,,,,
12/10/86,,OK-GLI,2,00d 00h 24m,Baikonur,First automatic landing,,,,,,
12/23/86,,OK-GLI,2,00d 00h 17m,Baikonur,,,,,,,
12/29/86,,OK-GLI,2,00d 00h 17m,Baikonur,,,,,,,
02/16/87,,OK-GLI,2,00d 00h 28m,Baikonur,,,,,,,
05/21/87,,OK-GLI,2,00d 00h 20m,Baikonur,,,,,,,
06/25/87,,OK-GLI,2,00d 00h 19m,Baikonur,,,,,,,
10/05/87,,OK-GLI,2,00d 00h 21m,Baikonur,,,,,,,
10/15/87,,OK-GLI,2,00d 00h 19m,Baikonur,,,,,,,
01/16/88,,OK-GLI,2,,Baikonur,,,,,,,
01/24/88,,OK-GLI,2,,Baikonur,,,,,,,
02/23/88,,OK-GLI,2,00d 00h 22m,Baikonur,,,,,,,
03/04/88,,OK-GLI,2,00d 00h 32m,Baikonur,,,,,,,
03/12/88,,OK-GLI,2,,Baikonur,,,,,,,
03/23/88,,OK-GLI,2,,Baikonur,,,,,,,
03/28/88,,OK-GLI,2,,Baikonur,,,,,,,
04/02/88,,OK-GLI,2,00d 00h 20m,Baikonur,,,,,,,
04/08/88,,OK-GLI,2,,Baikonur,,,,,,,
04/15/88,,OK-GLI,2,00d 00h 19m,Baikonur,,,,,,,
,,,,,,,,,,,,
BURAN LAUNCHES & ORBITAL FLIGHTS,,,,,,,,,,,,
No.,Launch Date,Mission,Shuttle,Crew,Duration,"Rendezvous
with",Landing Site,Notes,Sources,,,
1,11/15/88,1K1,Buran,0,00d 03h 0025m,,Baikonur,"Only flight of Buran
Only unmanned flight of Space Shuttle type vehicle",[319],,,
