PHRASE: united space _nytCount: 8 _historyStories.size(): 14 _mentions: 14        _unique stories: 0
PHRASE: task force _nytCount: 9 _historyStories.size(): 14 _mentions: 25        _unique stories: 1
PHRASE: weather satellite _nytCount: 10 _historyStories.size(): 14 _mentions: 20        _unique stories: 3
PHRASE: california institute _nytCount: 20 _historyStories.size(): 14 _mentions: 14        _unique stories: 3
PHRASE: michael foale _nytCount: 22 _historyStories.size(): 14 _mentions: 14        _unique stories: 0
PHRASE: nasa budget _nytCount: 23 _historyStories.size(): 14 _mentions: 14        _unique stories: 1
PHRASE: space missions _nytCount: 25 _historyStories.size(): 14 _mentions: 15        _unique stories: 1
PHRASE: weather satellites _nytCount: 2 _historyStories.size(): 13 _mentions: 13        _unique stories: 3
PHRASE: program office _nytCount: 3 _historyStories.size(): 13 _mentions: 13        _unique stories: 0
PHRASE: technology policy _nytCount: 3 _historyStories.size(): 13 _mentions: 13        _unique stories: 0
PHRASE: nasa scientist _nytCount: 4 _historyStories.size(): 13 _mentions: 13        _unique stories: 1
PHRASE: station project _nytCount: 5 _historyStories.size(): 13 _mentions: 13        _unique stories: 0
PHRASE: budget cuts _nytCount: 7 _historyStories.size(): 13 _mentions: 14        _unique stories: 0
PHRASE: compton gamma _nytCount: 9 _historyStories.size(): 13 _mentions: 16        _unique stories: 0
PHRASE: first flight _nytCount: 11 _historyStories.size(): 13 _mentions: 13        _unique stories: 1
PHRASE: san diego _nytCount: 11 _historyStories.size(): 13 _mentions: 13        _unique stories: 2
PHRASE: way galaxy _nytCount: 13 _historyStories.size(): 13 _mentions: 13        _unique stories: 0
PHRASE: nasa employees _nytCount: 13 _historyStories.size(): 13 _mentions: 15        _unique stories: 0
PHRASE: research satellite _nytCount: 2 _historyStories.size(): 12 _mentions: 12        _unique stories: 1
PHRASE: mission specialist _nytCount: 2 _historyStories.size(): 12 _mentions: 17        _unique stories: 2
PHRASE: rocket booster _nytCount: 2 _historyStories.size(): 12 _mentions: 12        _unique stories: 0
PHRASE: goldin nasa _nytCount: 2 _historyStories.size(): 12 _mentions: 12        _unique stories: 0
PHRASE: aviation week _nytCount: 2 _historyStories.size(): 12 _mentions: 12        _unique stories: 0
PHRASE: control system _nytCount: 3 _historyStories.size(): 12 _mentions: 13        _unique stories: 0
PHRASE: life sciences _nytCount: 4 _historyStories.size(): 12 _mentions: 15        _unique stories: 0
PHRASE: m shepherd _nytCount: 5 _historyStories.size(): 12 _mentions: 12        _unique stories: 0
PHRASE: moon europa _nytCount: 6 _historyStories.size(): 12 _mentions: 12        _unique stories: 0
PHRASE: william m _nytCount: 6 _historyStories.size(): 12 _mentions: 12        _unique stories: 0
PHRASE: nasa satellite _nytCount: 7 _historyStories.size(): 12 _mentions: 12        _unique stories: 2
PHRASE: climate orbiter _nytCount: 8 _historyStories.size(): 12 _mentions: 17        _unique stories: 1
PHRASE: space policy _nytCount: 12 _historyStories.size(): 12 _mentions: 15        _unique stories: 0
PHRASE: san francisco _nytCount: 12 _historyStories.size(): 12 _mentions: 13        _unique stories: 1
PHRASE: research council _nytCount: 15 _historyStories.size(): 12 _mentions: 12        _unique stories: 2
PHRASE: carbon dioxide _nytCount: 16 _historyStories.size(): 12 _mentions: 18        _unique stories: 0
PHRASE: science foundation _nytCount: 22 _historyStories.size(): 12 _mentions: 13        _unique stories: 1
PHRASE: soyuz spacecraft _nytCount: 23 _historyStories.size(): 12 _mentions: 12        _unique stories: 0
PHRASE: space museum _nytCount: 23 _historyStories.size(): 12 _mentions: 14        _unique stories: 0
PHRASE: research centers _nytCount: 2 _historyStories.size(): 11 _mentions: 11        _unique stories: 1
PHRASE: program director _nytCount: 2 _historyStories.size(): 11 _mentions: 11        _unique stories: 1
PHRASE: edward j _nytCount: 2 _historyStories.size(): 11 _mentions: 11        _unique stories: 0
PHRASE: discovery mission _nytCount: 2 _historyStories.size(): 11 _mentions: 11        _unique stories: 0
PHRASE: defense and space _nytCount: 3 _historyStories.size(): 11 _mentions: 12        _unique stories: 0
PHRASE: flight operations _nytCount: 4 _historyStories.size(): 11 _mentions: 11        _unique stories: 1
PHRASE: science mission _nytCount: 5 _historyStories.size(): 11 _mentions: 11        _unique stories: 0
PHRASE: space operations _nytCount: 5 _historyStories.size(): 11 _mentions: 16        _unique stories: 0
PHRASE: astronaut shannon _nytCount: 5 _historyStories.size(): 11 _mentions: 12        _unique stories: 0
PHRASE: atlantic ocean _nytCount: 8 _historyStories.size(): 11 _mentions: 11        _unique stories: 4
PHRASE: heliospheric observatory _nytCount: 8 _historyStories.size(): 11 _mentions: 11        _unique stories: 0
PHRASE: shuttle discoverys _nytCount: 9 _historyStories.size(): 11 _mentions: 11        _unique stories: 1
PHRASE: missile defense _nytCount: 11 _historyStories.size(): 11 _mentions: 12        _unique stories: 1
PHRASE: space debris _nytCount: 11 _historyStories.size(): 11 _mentions: 13        _unique stories: 0
PHRASE: defense department _nytCount: 13 _historyStories.size(): 11 _mentions: 12        _unique stories: 2
PHRASE: climate change _nytCount: 20 _historyStories.size(): 11 _mentions: 11        _unique stories: 1
PHRASE: shuttle columbias _nytCount: 23 _historyStories.size(): 11 _mentions: 11        _unique stories: 1
PHRASE: earth orbit _nytCount: 25 _historyStories.size(): 11 _mentions: 11        _unique stories: 1
PHRASE: return to earth _nytCount: 27 _historyStories.size(): 11 _mentions: 11        _unique stories: 1
PHRASE: space travel _nytCount: 34 _historyStories.size(): 11 _mentions: 11        _unique stories: 1
PHRASE: fuel tank _nytCount: 51 _historyStories.size(): 11 _mentions: 15        _unique stories: 0
PHRASE: delta rocket _nytCount: 2 _historyStories.size(): 10 _mentions: 11        _unique stories: 1
PHRASE: titan iv _nytCount: 2 _historyStories.size(): 10 _mentions: 12        _unique stories: 1
PHRASE: sensenbrenner jr _nytCount: 2 _historyStories.size(): 10 _mentions: 10        _unique stories: 0
PHRASE: gammaray observatory _nytCount: 2 _historyStories.size(): 10 _mentions: 10        _unique stories: 2
PHRASE: progress cargo _nytCount: 2 _historyStories.size(): 10 _mentions: 11        _unique stories: 0
PHRASE: science data _nytCount: 2 _historyStories.size(): 10 _mentions: 12        _unique stories: 0
PHRASE: space transportation _nytCount: 3 _historyStories.size(): 10 _mentions: 11        _unique stories: 1
PHRASE: observatory soho _nytCount: 3 _historyStories.size(): 10 _mentions: 10        _unique stories: 0
PHRASE: school students _nytCount: 3 _historyStories.size(): 10 _mentions: 10        _unique stories: 2
PHRASE: russian government _nytCount: 3 _historyStories.size(): 10 _mentions: 15        _unique stories: 0
PHRASE: research mission _nytCount: 4 _historyStories.size(): 10 _mentions: 10        _unique stories: 0
PHRASE: mission to study _nytCount: 4 _historyStories.size(): 10 _mentions: 10        _unique stories: 0
PHRASE: sergei k _nytCount: 4 _historyStories.size(): 10 _mentions: 10        _unique stories: 0
PHRASE: k krikalev _nytCount: 4 _historyStories.size(): 10 _mentions: 10        _unique stories: 0
PHRASE: rocket boosters _nytCount: 5 _historyStories.size(): 10 _mentions: 13        _unique stories: 1
