speed of ,6,21,20,38,56,14,9,12,4,7,17,17,9,8,9,13
on space ,2,15,30,25,16,21,14,8,24,14,19,29,14,10,13,9
into a ,0,7,13,19,34,7,17,4,6,6,2,5,29,23,21,34
was announced ,1,6,22,22,15,7,3,3,10,24,46,57,52,5,1,3
from earth ,0,16,21,15,31,6,18,19,19,18,28,25,7,2,9,15
but the ,1,6,18,25,33,13,10,6,13,11,16,21,38,15,8,24
satellite reentered ,0,0,0,0,0,0,38,35,42,43,39,40,38,0,1,0
they were ,1,2,11,22,39,15,16,8,32,28,15,15,19,9,8,10
on moon ,0,1,3,5,1,9,7,16,69,44,71,45,1,0,0,2
i n ,4,40,148,4,24,6,5,10,3,4,2,12,6,7,3,0
vandenberg afb ,0,19,49,40,27,24,15,20,14,13,14,3,0,0,0,7
the shuttle ,0,0,1,0,0,0,0,0,1,7,4,18,27,35,23,47
that had ,0,4,5,10,25,13,4,6,6,24,26,25,11,16,20,27
million in ,0,0,6,7,9,12,8,23,29,35,31,25,22,22,12,8
called for ,2,13,13,29,20,13,18,6,16,17,16,19,14,14,25,10
in addition ,2,5,8,29,31,19,25,9,7,12,8,10,13,45,26,4
and dr ,0,9,10,21,23,11,11,8,21,23,15,34,28,11,10,10
would use ,0,3,9,16,11,7,9,10,5,8,6,12,16,9,21,29
the other ,3,10,24,33,42,18,13,2,12,3,7,4,14,6,9,31
altitude of ,6,25,17,49,63,3,7,5,1,1,5,12,7,14,15,10
we can ,0,13,45,37,41,20,20,9,15,14,16,18,6,4,3,1
of soviet ,0,10,22,13,13,16,19,17,15,22,41,46,9,4,6,9
to launch ,4,14,10,22,29,15,25,10,13,14,10,17,13,10,11,7
earth resources ,0,0,0,0,0,1,1,5,21,28,27,48,54,36,13,8
data were ,1,5,8,19,18,19,24,33,31,26,18,28,14,7,9,4
selection of ,3,10,20,21,13,2,13,4,13,37,22,23,16,7,20,18
of solar ,2,7,13,5,12,10,20,6,23,15,23,24,28,25,13,15
under the ,3,7,14,22,33,8,9,2,3,2,3,4,24,27,29,23
the mission ,0,7,3,5,21,6,12,1,2,5,2,4,44,31,37,17
james e ,4,12,43,36,50,35,27,31,6,3,3,4,1,0,0,5
is not ,3,14,41,36,27,23,23,15,18,10,20,11,12,2,1,1
around the ,1,16,11,30,36,10,10,9,12,6,5,6,24,12,11,15
were being ,0,3,11,26,31,17,18,12,14,20,12,29,35,13,11,9
to use ,1,10,16,14,24,12,13,4,9,10,11,17,18,17,14,20
of technology ,0,6,15,19,21,11,14,11,11,19,9,29,25,13,8,21
of mars ,0,3,11,11,40,12,10,6,33,9,24,41,15,3,7,26
there is ,2,15,51,43,32,19,13,8,14,8,18,18,11,3,1,0
scientists and ,0,10,15,23,12,7,12,22,21,17,13,27,34,17,10,6
from vandenberg ,2,17,49,32,28,17,14,16,13,12,14,13,4,1,2,5
center announced ,1,8,25,20,15,1,0,4,0,2,2,48,16,15,34,34
use in ,0,10,13,32,28,13,16,12,6,19,4,9,10,8,20,29
capable of ,1,13,29,27,36,30,21,12,13,14,12,7,4,2,8,5
successfully launched ,3,5,11,22,29,27,44,51,24,8,8,5,3,5,6,2
plans for ,3,6,21,20,17,15,14,16,17,16,18,29,16,10,10,8
from nasa ,1,11,24,27,17,34,22,31,15,9,14,11,8,4,7,7
flight of ,9,15,19,30,25,11,11,13,16,14,7,8,19,10,7,7
system and ,2,5,10,20,27,15,9,12,13,27,16,16,15,14,15,9
washington post ,0,4,8,5,15,15,14,15,35,30,27,21,19,10,9,12
the surface ,2,3,5,22,36,11,13,2,15,6,11,11,10,21,25,33
in science ,0,6,14,8,12,27,18,13,29,40,25,37,14,2,2,4
effects of ,3,10,12,22,23,15,24,9,15,14,18,16,18,12,12,15
between the ,2,7,10,28,29,12,11,4,5,4,2,2,28,23,34,20
