three miles,11,0,0,1,0,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Three categories,11,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
four experiments,11,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,3,1,0,0,1,0,0
70 hrs,11,0,1,2,0,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 experiments,11,0,1,0,0,0,0,0,2,2,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0
59 days,11,0,0,0,0,1,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0
5 years,11,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,1,1,0,0,0
40 minutes,11,0,1,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
300 lbs,11,0,0,0,1,2,3,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3 satellites,11,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
3 hours,11,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1
3 experiments,11,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0
28 days,11,0,0,0,0,0,0,1,1,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0
25 years,11,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
24 days,11,0,0,0,0,1,1,0,0,0,1,4,0,0,2,1,0,0,0,0,0,0,0,0,0
20 days,11,0,1,2,0,0,0,0,0,0,0,0,1,2,0,1,4,0,0,0,0,0,0,0,0
2 experiments,11,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,1,1,0,0,0,0,0
17 astronauts,11,0,0,0,0,0,0,0,0,0,0,0,7,3,0,1,0,0,0,0,0,0,0,0,0
11 samples,11,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 hrs,11,0,0,0,1,3,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
10 months,11,1,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
000 meters,11,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000 kilometers,11,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4,0,1,0,1,0
000 fps,11,0,0,1,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
two vehicles,10,0,0,0,0,3,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
two companies,10,0,0,1,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
two antennas,10,0,0,0,0,0,2,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
two agencies,10,0,0,0,3,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
three fourths,10,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,4,0,0,0,0,0,0,0,0
three feet,10,0,0,0,1,0,2,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
three communications,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
four weeks,10,0,0,2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
four minutes,10,0,1,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
four companies,10,0,0,0,0,3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
800 lbs,10,0,0,1,2,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8 experiments,10,0,0,0,0,0,0,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8 astronauts,10,0,0,0,0,0,0,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
